  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029070 ***** 190101010600 270  36 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   18 **** 1020.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101011300 290  18 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   19 **** 1020.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101012000 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   15 **** 1020.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101020600 180  18 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   21 **** 1018.3 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101021300 180  22 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   22 **** 1017.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101022000 180  22 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1017.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101030600 200  22 *** *** BKN * * *  0.0 ** ** ** ** ** ** ** ** *   20 **** 1017.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101031300 230  26 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1017.4 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101032000 230  26 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1017.4 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101040600 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1023.1 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101041300 230  18 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1022.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101042000 200  26 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1022.3 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101050600 270   9 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   32 **** 1018.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101051300 270   5 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   33 **** 1025.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101052000 230   9 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   32 **** 1026.7 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101060600 270  14 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   33 **** 1027.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101061300 270  14 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   33 **** 1029.8 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101062000 320   5 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   30 **** 1031.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101070600 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1033.4 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101071300 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   23 **** 1033.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101072000 200  22 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1033.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101080600 230  22 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1032.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101081300 230  26 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1032.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101082000 230  31 *** *** OVC * * *  0.0 70 ** ** ** ** ** ** ** *   26 **** 1029.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101090600 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   23 **** 1028.7 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101091300 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1026.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101092000 180  22 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1023.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101100600 230  22 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1016.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101101300 230  26 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1014.8 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101102000 230  31 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1013.8 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101110600 250  14 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1010.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101111300 270  18 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   23 **** 1011.4 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101112000 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1012.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101120600 270   9 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1013.1 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101121300 320  18 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1020.7 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101122000 290  22 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   28 **** 1021.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101130600 320   9 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   32 **** 1016.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101131300 320  18 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   31 **** 1023.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101132000 320   9 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   29 **** 1023.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101140600 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1027.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101141300 230  22 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1025.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101142000 230  26 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1022.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101150600 230  31 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   31 **** 1018.3 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101151300 230  31 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   35 **** 1015.4 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101152000 230  36 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   36 **** 1013.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101160600 ***   0 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   37 **** 1011.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101161300 270   9 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   37 **** 1012.7 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101162000 270  14 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   34 **** 1013.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101170600 ***   0 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   29 **** 1014.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101171300 ***   0 *** *** SCT * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1013.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101172000 200  18 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   22 **** 1013.8 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101180600 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1010.0 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101181300 270   9 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1011.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101182000 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   20 **** 1012.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101190600 230   9 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1007.1 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101191300 200  14 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1003.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101192000 200  18 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   28 **** 1001.5 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101200600 250   9 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   28 **** 1000.6 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101201300 270  14 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   28 ****  999.9 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101202000 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   25 ****  997.2 ***** ****** *** *** ***** ***** ***** ***** **
029070 ***** 190101210600 070  18 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   29 ****  991.4 ***** ****** *** *** ***** ***** ***** ***** **
